row,var,var_label,var_descr,unit,x1_value,x2_value,x3_value,x4_value,x1_label,x2_label,x3_label,x4_label,x1_hyperlink,x2_hyperlink,x3_hyperlink,x4_hyperlink
0,ER_TIME,ACCESSIBILITÉ URGENCES,Temps d'accès à un établissement d'urgence,[mn],5.0,10.0,15.0,20,5mn,10mn,15mn,20mn,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
1,DENTAL_TIME,ACCESSIBILITÉ PERM. DENTAIRE,Temps d'accès à une permanece dentaire,[mn],5.0,10.0,15.0,20,5mn,10mn,15mn,20mn,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
2,PHARMA_TIME,ACCESSIBILITÉ PHARMACIES,Temps d'accès à une pharmacie,[mn],5.0,10.0,15.0,20,5mn,10mn,15mn,20mn,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
3,AMBU_TIME,ACCESSIBILITÉ AMBULANCE,Temps d'accès à une ambulance,[mn],5.0,10.0,15.0,20,5mn,10mn,15mn,20mn,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
4,PLAYGRD_TIME,ACCESSIBILITÉ AIRES JEUX,Temps d'accès à une aire de jeux pour enfants,[mn],5.0,10.0,15.0,20,5mn,10mn,15mn,20mn,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
5,D_MEDIC,ACCESSIBILITÉ CABINETS MÉDICAUX,Distance via réseau routier au cabinet médical / centre ambulatoire le plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
6,D_GROCERY,ACCESSIBILITÉ ALIMENTATION,Distance via réseau routier au magasin d'alimentation le plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
7,D_SCHOOL_O,ACCESSIBILITÉ FORMATION (SCOLARITÉ OBLIGATOIRE),Distance via réseau routier à l'institution de formation (scolarité obligatoire) la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
8,D_SCHOOL_S,ACCESSIBILITÉ FORMATION (DEGRÉ SECONDAIRE II),Distance via réseau routier à l'institution de formation (degré secondaire II) la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
9,D_EDUC,ACCESSIBILITÉ FORMATION (DEGRÉ TERTIAIRE),Distance via réseau routier à l'institution de formation (degré tertiaire) la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
10,D_FOREST,ACCESSIBILITÉ FORÊTS,Distance via réseau routier à la lisière de forêt la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
11,D_LAKE,ACCESSIBILITÉ LACS,Distance via réseau routier à la rive de lac la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
12,D_SPORT,ACCESSIBILITÉ SPORT,Distance via réseau routier à l'installation sportive / fitness la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
13,D_SWIM,ACCESSIBILITÉ NATATION,Distance via réseau routier à la piscine ou plage la plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
14,D_SECURITY,ACCESSIBILITÉ SÉCURITÉ,Distance via réseau routier au service d'ordre public / de sécurité le plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
15,D_STOP_TOT,ACCESSIBILITÉ TRANSPORTS PUBLICS,Distance via réseau routier à l'arrêt de transport public le plus proche,[km],1.0,5.0,10.0,20,1km,5km,10km,20km,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
16,N_ACC_PED,ACCIDENTS PIÉTONS,Accidents de la route incluant un piéton dans un rayon de 2km,[nb/10 ans],3.0,10.0,50.0,100,< 3,3-10,10-50,> 100,"<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>"
17,N_ACC_BIC,ACCIDENTS VÉLOS,Accidents de la route incluant un vélo dans un rayon de 2km,[nb/10 ans],3.0,10.0,50.0,100,< 3,3-10,10-50,> 100,"<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>"
18,NO2,NO2,Dioxyde d'azote (NO2),[µg/m3],10.0,10.521999999999998,13.248,30,WHO,25% VD,Med VD,Opair,"<a href=""https://www.who.int/publications/i/item/9789240034228""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/produits-chimiques/glossaire-des-polluants/oxydes-d-azote.html""><b>"
19,PM10,PM10,Poussières fines (PM10),[µg/m3],10.784,12.008,15.0,20,25% VD,Med VD,WHO,Opair,"<a href=""""><b>","<a href=""""><b>","<a href=""https://www.who.int/publications/i/item/9789240034228""><b>","<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/produits-chimiques/glossaire-des-polluants/poussieres-fines.html""><b>"
20,PM25,PM2.5,Poussières fines (PM2.5),[µg/m3],5.0,8.0,8.612,10,WHO,25% VD,Med VD,Opair,"<a href=""https://www.who.int/publications/i/item/9789240034228""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/produits-chimiques/glossaire-des-polluants/poussieres-fines.html""><b>"
