row,var,var_label,var_descr,unit,x1_value,x2_value,x3_value,x4_value,x1_label,x2_label,x3_label,x4_label,x1_hyperlink,x2_hyperlink,x3_hyperlink,x4_hyperlink
0,ER_TIME,ACCESSIBILITÉ URGENCES,Temps d'accès à un établissement d'urgence,[mn],5.0,10.0,15.0,20.0,5mn,10mn,15mn,20mn, , , , 
1,DENTAL_TIME,ACCESSIBILITÉ PERM. DENTAIRE,Temps d'accès à une permanence dentaire,[mn],5.0,10.0,15.0,20.0,5mn,10mn,15mn,20mn, , , , 
2,PHARMA_TIME,ACCESSIBILITÉ PHARMACIES,Temps d'accès à une pharmacie,[mn],5.0,10.0,15.0,20.0,5mn,10mn,15mn,20mn, , , , 
3,AMBU_TIME,ACCESSIBILITÉ AMBULANCE,Temps d'accès à une ambulance,[mn],5.0,10.0,15.0,20.0,5mn,10mn,15mn,20mn, , , , 
4,PLAYGRD_TIME,ACCESSIBILITÉ AIRES JEUX,Temps d'accès à une aire de jeux pour enfants,[mn],5.0,10.0,15.0,20.0,5mn,10mn,15mn,20mn, , , , 
5,D_MEDIC,ACCESSIBILITÉ CABINETS MÉDICAUX,Distance au cabinet médical / centre ambulatoire le plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
6,D_GROCERY,ACCESSIBILITÉ ALIMENTATION,Distance au magasin d'alimentation le plus proche,[km],0.5,1.0,2.0,5.0,0.5km,1km,2km,5km, , , , 
7,D_SCHOOL_O,ACCESSIBILITÉ FORMATION (SCOLARITÉ OBLIGATOIRE),Distance à l'institution de formation (scolarité obligatoire) la plus proche,[km],0.5,1.0,2.0,5.0,0.5km,1km,2km,5km, , , , 
8,D_SCHOOL_S,ACCESSIBILITÉ FORMATION (DEGRÉ SECONDAIRE II),Distance à l'institution de formation (degré secondaire II) la plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
9,D_EDUC,ACCESSIBILITÉ FORMATION (DEGRÉ TERTIAIRE),Distance à l'institution de formation (degré tertiaire) la plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
10,D_FOREST,ACCESSIBILITÉ FORÊTS,Distance à la lisière de forêt la plus proche,[km],0.5,1.0,2.0,5.0,0.5km,1km,2km,5km, , , , 
11,D_LAKE,ACCESSIBILITÉ LACS,Distance à la rive de lac la plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
12,D_SPORT,ACCESSIBILITÉ SPORT,Distance via réseau routier à l'installation sportive / fitness la plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
13,D_SWIM,ACCESSIBILITÉ NATATION,Distance via réseau routier à la piscine ou plage la plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
14,D_SECURITY,ACCESSIBILITÉ POLICE,Distance via réseau routier au service de police le plus proche,[km],1.0,5.0,10.0,20.0,1km,5km,10km,20km, , , , 
15,D_STOP_TOT,ACCESSIBILITÉ TRANSPORTS PUBLICS,Distance via réseau routier à l'arrêt de transport public le plus proche,[km],0.1,0.5,1.0,2.0,0.1km,0.5km,1km,2km, , , , 
16,NB_ACDNT,ACCIDENTS PIÉTONS OU CYCLISTES,Accidents de la route impliquant des piétons ou des cyclistes dans un rayon de 800m,[nb entre 2011 et 2021],3.0,10.0,50.0,100.0,3,10,50,100,"<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>","<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/accidents-impact-environnement/accidents-transports/route.html""><b>"
17,GREEN_SP,ESPACES VERTS,Espaces verts dans un rayon de 800m,[%],25.0,50.0,80.0,90.0,25%,50%,80%,90%, , , , 
18,BLUE_SP,ESPACES BLEUS,Espaces bleus dans un rayon de 800m,[%],2.0,10.0,30.0,50.0,2%,10%,30%,50%, , , , 
19,NO2,NO2,Dioxyde d'azote (NO2),[µg/m3],10.0,11.104000000000001,13.752,30.0,WHO,25% VD,Med VD,Opair,"<a href=""https://www.who.int/publications/i/item/9789240034228""><b>", , ,"<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/produits-chimiques/glossaire-des-polluants/oxydes-d-azote.html""><b>"
20,PM10,PM10,Poussières fines (PM10),[µg/m3],11.052,12.224,15.0,20.0,25% VD,Med VD,WHO,Opair, , ,"<a href=""https://www.who.int/publications/i/item/9789240034228""><b>","<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/produits-chimiques/glossaire-des-polluants/poussieres-fines.html""><b>"
21,PM25,PM2.5,Poussières fines (PM2.5),[µg/m3],5.0,8.123999999999999,8.7,10.0,WHO,25% VD,Med VD,Opair,"<a href=""https://www.who.int/publications/i/item/9789240034228""><b>", , ,"<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/produits-chimiques/glossaire-des-polluants/poussieres-fines.html""><b>"
22,NOISE,BRUIT,Bruit nocturne (routier et ferroviaire),[dB(A)],30.0,40.0,55.0,65.0,Effet modeste,Effet néfaste,Situation dangereuse,Non réglementaire (>LPE),"<a href=""https://apps.who.int/iris/handle/10665/326486""><b>","<a href=""https://apps.who.int/iris/handle/10665/326486""><b>","<a href=""https://apps.who.int/iris/handle/10665/326486""><b>","<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/bruit/info-specialistes/exposition-au-bruit/valeurs-limites-pour-le-bruit/valeurs-limites-dexposition-au-bruit.html""><b>"
23,LST,LST,Température de surface,[°C],25.0,30.0,35.0,40.0,25°C,30°C,35°C,40°C,"<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>","<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>","<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>","<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>"
24,RP0014,POPULATION <14 ANS,Part de la population <14 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
25,RP1524,POPULATION 15-24 ANS,Part de la population 15-24 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
26,RP2564,POPULATION 25-64 ANS,Part de la population 25-64 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
27,RP65M,POPULATION >65 ANS,Part de la population >65 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
